index,origin,loss,layer,multiplier
4,openwebtext-256-512,6.5866875648498535,10,0
4,openwebtext-256-512,6.5866875648498535,11,0
4,openwebtext-256-512,6.5866875648498535,2,0
4,openwebtext-256-512,6.5866875648498535,3,0
4,openwebtext-256-512,6.5866875648498535,4,0
4,openwebtext-256-512,6.5866875648498535,5,0
4,openwebtext-256-512,6.5866875648498535,6,0
4,openwebtext-256-512,6.5866875648498535,7,0
4,openwebtext-256-512,6.5866875648498535,8,0
4,openwebtext-256-512,6.5866875648498535,9,0
5,openwebtext-256-512,5.707881927490234,0,0
5,openwebtext-256-512,5.707881927490234,1,0
5,openwebtext-256-512,5.707881927490234,10,0
5,openwebtext-256-512,5.707881927490234,11,0
5,openwebtext-256-512,5.707881927490234,2,0
5,openwebtext-256-512,5.707881927490234,3,0
5,openwebtext-256-512,5.707881927490234,4,0
5,openwebtext-256-512,5.707881927490234,5,0
5,openwebtext-256-512,5.707881927490234,6,0
5,openwebtext-256-512,5.707881927490234,7,0
5,openwebtext-256-512,5.707881927490234,8,0
5,openwebtext-256-512,5.707881927490234,9,0
6,openwebtext-256-512,6.960448265075684,0,0
6,openwebtext-256-512,6.960448265075684,1,0
6,openwebtext-256-512,6.960448265075684,10,0
6,openwebtext-256-512,6.960448265075684,11,0
6,openwebtext-256-512,6.960448265075684,2,0
6,openwebtext-256-512,6.960448265075684,3,0
6,openwebtext-256-512,6.960448265075684,4,0
6,openwebtext-256-512,6.960448265075684,5,0
6,openwebtext-256-512,6.960448265075684,6,0
6,openwebtext-256-512,6.960448265075684,7,0
6,openwebtext-256-512,6.960448265075684,8,0
6,openwebtext-256-512,6.960448265075684,9,0
7,openwebtext-256-512,5.700253963470459,0,0
7,openwebtext-256-512,5.700253963470459,1,0
7,openwebtext-256-512,5.700253963470459,10,0
7,openwebtext-256-512,5.700253963470459,11,0
7,openwebtext-256-512,5.700253963470459,2,0
7,openwebtext-256-512,5.700253963470459,3,0
7,openwebtext-256-512,5.700253963470459,4,0
