layer,multiplier,index,origin,loss
1,0.0,13,openwebtext-128-64,2.650153398513794
2,0.0,13,openwebtext-128-64,2.650153398513794
3,0.0,13,openwebtext-128-64,2.650153398513794
4,0.0,13,openwebtext-128-64,2.650153398513794
5,0.0,13,openwebtext-128-64,2.650153398513794
6,0.0,13,openwebtext-128-64,2.650153398513794
7,0.0,13,openwebtext-128-64,2.650153398513794
8,0.0,13,openwebtext-128-64,2.650153398513794
9,0.0,13,openwebtext-128-64,2.650153398513794
10,0.0,13,openwebtext-128-64,2.650153398513794
11,0.0,13,openwebtext-128-64,2.650153398513794
8,-1.0,13,openwebtext-128-64,3.14353346824646
8,-0.5,13,openwebtext-128-64,3.003812551498413
8,-0.2,13,openwebtext-128-64,2.909947156906128
8,-0.15,13,openwebtext-128-64,2.880845069885254
8,-0.1,13,openwebtext-128-64,2.823970317840576
8,-0.05,13,openwebtext-128-64,2.7175662517547607
8,0.05,13,openwebtext-128-64,2.710930585861206
8,0.1,13,openwebtext-128-64,2.9628608226776123
8,0.15,13,openwebtext-128-64,3.389180898666382
8,0.2,13,openwebtext-128-64,3.997401714324951
8,0.5,13,openwebtext-128-64,11.481865882873535
8,1.0,13,openwebtext-128-64,17.620685577392578
0,0.0,14,openwebtext-128-64,2.8703560829162598
1,0.0,14,openwebtext-128-64,2.8703560829162598
2,0.0,14,openwebtext-128-64,2.8703560829162598
3,0.0,14,openwebtext-128-64,2.8703560829162598
4,0.0,14,openwebtext-128-64,2.8703560829162598
5,0.0,14,openwebtext-128-64,2.8703560829162598
6,0.0,14,openwebtext-128-64,2.8703560829162598
7,0.0,14,openwebtext-128-64,2.8703560829162598
8,0.0,14,openwebtext-128-64,2.8703560829162598
9,0.0,14,openwebtext-128-64,2.8703560829162598
10,0.0,14,openwebtext-128-64,2.8703560829162598
11,0.0,14,openwebtext-128-64,2.8703560829162598
8,-1.0,14,openwebtext-128-64,2.9828803539276123
8,-0.5,14,openwebtext-128-64,2.90519118309021
8,-0.2,14,openwebtext-128-64,2.8685355186462402
8,-0.15,14,openwebtext-128-64,2.864401340484619
8,-0.1,14,openwebtext-128-64,2.860943555831909
8,-0.05,14,openwebtext-128-64,2.8569583892822266
8,0.05,14,openwebtext-128-64,2.947503089904785
8,0.1,14,openwebtext-128-64,3.320244312286377
8,0.15,14,openwebtext-128-64,4.131546497344971
8,0.2,14,openwebtext-128-64,5.292400360107422
8,0.5,14,openwebtext-128-64,17.227123260498047
8,1.0,14,openwebtext-128-64,25.056108474731445
0,0.0,15,openwebtext-128-64,0.018116725608706474
1,0.0,15,openwebtext-128-64,0.018116725608706474
2,0.0,15,openwebtext-128-64,0.018116725608706474
3,0.0,15,openwebtext-128-64,0.018116725608706474
4,0.0,15,openwebtext-128-64,0.018116725608706474
5,0.0,15,openwebtext-128-64,0.018116725608706474
6,0.0,15,openwebtext-128-64,0.018116725608706474
7,0.0,15,openwebtext-128-64,0.018116725608706474
8,0.0,15,openwebtext-128-64,0.018116725608706474
9,0.0,15,openwebtext-128-64,0.018116725608706474
10,0.0,15,openwebtext-128-64,0.018116725608706474
11,0.0,15,openwebtext-128-64,0.018116725608706474
8,-1.0,15,openwebtext-128-64,0.9239413738250732
8,-0.5,15,openwebtext-128-64,0.31272947788238525
8,-0.2,15,openwebtext-128-64,0.10233670473098755
8,-0.15,15,openwebtext-128-64,0.07848576456308365
8,-0.1,15,openwebtext-128-64,0.05283229798078537
8,-0.05,15,openwebtext-128-64,0.027118602767586708
8,0.05,15,openwebtext-128-64,0.044845253229141235
8,0.1,15,openwebtext-128-64,0.19712668657302856
8,0.15,15,openwebtext-128-64,0.7819308042526245
8,0.2,15,openwebtext-128-64,1.667847752571106
8,0.5,15,openwebtext-128-64,5.543455123901367
8,1.0,15,openwebtext-128-64,8.849432945251465
0,0.0,16,openwebtext-128-64,2.580355644226074
1,0.0,16,openwebtext-128-64,2.580355644226074
2,0.0,16,openwebtext-128-64,2.580355644226074
3,0.0,16,openwebtext-128-64,2.580355644226074
4,0.0,16,openwebtext-128-64,2.580355644226074
5,0.0,16,openwebtext-128-64,2.580355644226074
6,0.0,16,openwebtext-128-64,2.580355644226074
7,0.0,16,openwebtext-128-64,2.580355644226074
8,0.0,16,openwebtext-128-64,2.580355644226074
9,0.0,16,openwebtext-128-64,2.580355644226074
10,0.0,16,openwebtext-128-64,2.580355644226074
11,0.0,16,openwebtext-128-64,2.580355644226074
8,-1.0,16,openwebtext-128-64,3.1210482120513916
8,-0.5,16,openwebtext-128-64,2.9701247215270996
8,-0.2,16,openwebtext-128-64,2.8595242500305176
8,-0.15,16,openwebtext-128-64,2.8134870529174805
8,-0.1,16,openwebtext-128-64,2.726015567779541
8,-0.05,16,openwebtext-128-64,2.621521472930908
8,0.05,16,openwebtext-128-64,2.619830846786499
8,0.1,16,openwebtext-128-64,2.8416848182678223
8,0.15,16,openwebtext-128-64,3.3084802627563477
8,0.2,16,openwebtext-128-64,3.9552247524261475
8,0.5,16,openwebtext-128-64,10.875452995300293
8,1.0,16,openwebtext-128-64,16.27884864807129
0,0.0,17,openwebtext-128-64,3.025082588195801
1,0.0,17,openwebtext-128-64,3.025082588195801
2,0.0,17,openwebtext-128-64,3.025082588195801
3,0.0,17,openwebtext-128-64,3.025082588195801
4,0.0,17,openwebtext-128-64,3.025082588195801
5,0.0,17,openwebtext-128-64,3.025082588195801
6,0.0,17,openwebtext-128-64,3.025082588195801
7,0.0,17,openwebtext-128-64,3.025082588195801
8,0.0,17,openwebtext-128-64,3.025082588195801
9,0.0,17,openwebtext-128-64,3.025082588195801
10,0.0,17,openwebtext-128-64,3.025082588195801
11,0.0,17,openwebtext-128-64,3.025082588195801
8,-1.0,17,openwebtext-128-64,3.4865920543670654
